technology,rsp,state,geography,download_busy,upload_busy,latency_busy,tier,underperforming
Hybrid Fibre Coaxial,Superloop,VIC,Urban,106.65,18.92,7.88,100/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,TAS,Urban,49.65,17.24,23.18,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,91.94,18.61,8.3,100/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,107.04,18.94,2.67,100/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,NT + SA,Urban,229.5,23.67,15.87,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,VIC,Urban,270.51,23.8,8.34,250/25 Mbps,FALSE
Fibre to the Node,iiNet,VIC,Urban,53.31,17.35,10.1,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,VIC,Urban,106.57,35.69,8.36,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,104.59,37.31,8.77,100/40 Mbps,FALSE
Fibre to the Premises,iiNet,NT + SA,Urban,267.56,23.57,11.88,250/25 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,53.25,18.74,3.2,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,VIC,Urban,105.38,18.79,8.35,100/20 Mbps,FALSE
Fibre to the Node,Superloop,VIC,Urban,32.94,5.29,14.82,100/40 Mbps,TRUE
Fibre to the Node,Telstra,VIC,Urban,105.86,18.87,4.87,100/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,NT + SA,Minor Rural,107.27,18.93,10.97,100/20 Mbps,FALSE
Fibre to the Curb,Telstra,VIC,Urban,27.13,4.63,5.85,25/5 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,NT + SA,Urban,27.11,4.59,15.87,25/5 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,VIC,Urban,54.32,18.95,9.57,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,VIC,Urban,105.15,18.7,4.22,100/20 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Urban,107.44,18.78,6.84,100/20 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Urban,54.67,19.03,11.65,50/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,TAS,Urban,26.82,9.48,19.32,25/10 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,91.5,18.68,9.72,100/20 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,107.99,18.91,3.16,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,TAS,Urban,54.49,18.96,11.67,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,94.07,18.9,9.38,100/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,26.35,9.47,9.08,25/10 Mbps,FALSE
Fibre to the Premises,Telstra,TAS,Urban,109.09,19.02,15.18,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,54.34,18.81,10.93,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,NT + SA,Urban,106.63,18.77,13.27,100/20 Mbps,FALSE
Fibre to the Node,Leaptel,TAS,Major Rural,105.89,18.94,18.41,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,NT + SA,Urban,108.86,18.8,17.98,100/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,106.68,18.81,1.89,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,VIC,Urban,105.09,37.88,8.08,100/40 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,94.72,37.93,11.56,100/40 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,NT + SA,Urban,51.23,18.76,20.77,50/20 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Urban,53.51,19.03,7.53,50/20 Mbps,FALSE
Fibre to the Node,TPG,NSW,Urban,48.56,13.9,31.54,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,TAS,Urban,52.97,18.85,16.19,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,105.04,18.41,8.37,100/20 Mbps,FALSE
Fibre to the Curb,Exetel,NT + SA,Urban,106.62,18.81,12.5,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,261.96,23.41,2.25,250/25 Mbps,FALSE
Fibre to the Node,iiNet,NT + SA,Minor Rural,53.12,18.84,21.89,50/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,92.83,18.51,2.13,100/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,53.11,18.81,4.43,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,51.82,18.81,11.06,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,107.59,18.81,2.14,100/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Urban,26.36,4.71,16.57,25/5 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Minor Rural,104.38,18.86,7.21,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,NT + SA,Urban,105.62,14.96,11.08,100/20 Mbps,FALSE
Fibre to the Node,TPG,VIC,Urban,26.13,4.71,18.8,25/5 Mbps,FALSE
Fibre to the Curb,Superloop,VIC,Urban,54.11,19,5.34,50/20 Mbps,FALSE
Fibre to the Node,Launtel,VIC,Minor Rural,46.51,17.99,18.4,50/20 Mbps,FALSE
